GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
itida,com.example.itida.service,UserService,13,224,4,12,3,51,4,13,0,9
itida,com.example.itida.service,TimeLogService,22,268,0,8,6,45,0,13,0,9
itida,com.example.itida.service,AuthService,28,236,3,9,6,54,3,8,0,5
itida,com.example.itida,ItidaApplication,8,0,0,0,3,0,2,0,2,0
itida,com.example.itida.authentication,CustomUserDetailsService,38,0,0,0,10,0,3,0,3,0
itida,com.example.itida.authentication,SecurityConfig,96,0,0,0,24,0,8,0,8,0
itida,com.example.itida.authentication,JwtUtil,113,4,4,0,30,1,12,1,10,1
itida,com.example.itida.authentication,JwtAuthenticationFilter,90,0,12,0,21,0,9,0,3,0
itida,com.example.itida.controller,AuthController,44,0,0,0,10,0,5,0,5,0
itida,com.example.itida.controller,TimeLogController,62,0,2,0,16,0,5,0,4,0
itida,com.example.itida.controller,UserController,36,0,0,0,9,0,5,0,5,0
itida,com.example.itida.enums,Role,0,21,0,0,0,2,0,1,0,1
itida,com.example.itida.exception,GlobalExceptionHandler,94,0,6,0,20,0,12,0,9,0
itida,com.example.itida.exception,UserNotFound,0,4,0,0,0,2,0,1,0,1
itida,com.example.itida.exception,AuthenticationException,0,4,0,0,0,2,0,1,0,1
itida,com.example.itida.exception,EmailAlreadyExists,0,4,0,0,0,2,0,1,0,1
itida,com.example.itida.entity,TimeLog,25,31,0,0,2,6,3,9,3,9
itida,com.example.itida.entity,User,290,49,61,1,1,9,37,14,6,14
itida,com.example.itida.redisConfig,EmbeddedRedisConfig,24,0,2,0,10,0,4,0,3,0
itida,com.example.itida.redisConfig,RedisTokenStore,66,0,0,0,19,0,7,0,7,0
